'#See Table B1   
#Spectroscopic redshift catalogue   
ID RA DEC Z_GRISM ZERR_GRISM Z_SPEC
244 110.795717 -73.478566 0.3941 0.0021 ""
311 110.82779 -73.474637 0.3964 0.0013 ""
329 110.80348 -73.474056 0.7388 0.0006 ""
343 110.799126 -73.473015 0.8226 0.0017 ""
367 110.840621 -73.471706 2.1182 0.003 ""
370 110.836605 -73.471633 0.7477 0.2712 ""
376 110.795178 -73.471354 1.9661 0.0006 ""
387 110.796473 -73.470575 1.9697 0.0005 ""
389 110.847176 -73.470383 1.9539 0.0022 ""
402 110.829951 -73.469928 1.3832 0.1709 ""
406 110.829035 -73.469272 0.3969 0.0007 ""
407 110.858903 -73.469301 0.4076 0.002 ""
418 110.8271 -73.468999 1.2256 0.0022 ""
446 110.832168 -73.467505 1.4199 0.0025 ""
454 110.77943 -73.467186 2.0476 0.0033 ""
455 110.810922 -73.466859 0.3941 0.001 ""
456 110.868699 -73.467207 2.5736 0.0012 ""
459 110.78336 -73.466853 0.9117 0.0007 ""
475 110.87984 -73.465816 1.9937 0.0023 ""
477 110.871106 -73.46572 "" "" 1.244
483 110.852782 -73.465338 1.9826 0.0019 ""
484 110.876365 -73.465226 2.8132 0.0009 ""
485 110.82045 -73.465196 0.3958 0.0032 ""
493 110.808069 -73.464869 1.3713 0.0026 ""
497 110.781836 -73.46472 0.9127 0.0005 ""
500 110.823451 -73.464713 1.5626 0.0021 ""
502 110.867622 -73.464139 0.392 0.0015 ""
506 110.830329 -73.464042 0.3938 0.0008 ""
507 110.81779 -73.464189 1.1348 0.0019 ""
516 110.783956 -73.463544 1.4729 0.0009 ""
522 110.848874 -73.463069 0.4066 0.0018 ""
524 110.809965 -73.46312 0.5972 0.0008 ""
533 110.849716 -73.462602 0.3229 0.0005 0.3217
534 110.772449 -73.462393 0.728 0.0007 ""
539 110.865293 -73.462121 0.3971 0.0011 ""
541 110.768942 -73.461845 0.3945 0.001 ""
545 110.788009 -73.461824 "" "" 5.275
560 110.776053 -73.461249 1.4745 0.0018 ""
562 110.78515 -73.460985 0.3813 0.0025 ""
566 110.890203 -73.460525 2.1558 0.0009 ""
571 110.830443 -73.460586 "" "" 0.7455
601 110.863797 -73.459619 0.4023 0.0023 ""
602 110.799062 -73.459566 2.2095 0.0005 ""
611 110.838979 -73.458823 1.4489 0.0003 1.4503
614 110.821254 -73.45896 0.8578 0.0015 ""
615 110.836696 -73.458728 1.3715 0.0009 1.3782
616 110.916437 -73.458734 "" "" 2.213
621 110.76264 -73.458384 1.9832 0.0041 ""
622 110.891749 -73.458353 0.2876 0.0008 ""
633 110.753304 -73.4577 "" "" 1.996
643 110.842046 -73.456798 "" "" 0.4233
646 110.836397 -73.456984 "" "" 0.3241
649 110.853255 -73.456755 0.3933 0.0009 0.3836
660 110.862442 -73.456455 0.3955 0.0009 ""
663 110.804641 -73.456237 0.3877 0.0008 0.3864
674 110.855894 -73.455839 0.3898 0.0018 0.3822
677 110.852269 -73.455606 "" "" 0.5189
679 110.840771 -73.45534 "" "" 1.3782
680 110.871357 -73.455426 1.085 0.0006 ""
703 110.760804 -73.454252 0.3787 0.0007 ""
710 110.877524 -73.453832 1.4874 0.0006 ""
711 110.770814 -73.453866 1.883 0.0027 ""
712 110.837905 -73.453707 0.3795 0.0011 0.3865
713 110.850353 -73.453789 0.3828 0.0021 ""
721 110.746073 -73.453278 "" "" 0.424
734 110.83879 -73.45279 0.3999 0.0022 ""
735 110.800157 -73.452782 0.3863 0.0043 ""
738 110.852012 -73.452346 "" "" 1.4816
740 110.761439 -73.452501 1.7189 0.0021 ""
750 110.765935 -73.451708 2.2812 0.0028 2.463
753 110.758863 -73.451926 0.3901 0.0013 ""
760 110.840788 -73.451178 1.4435 0.0009 1.4503
763 110.879597 -73.451654 1.3722 0.0015 ""
766 110.791988 -73.451434 1.3808 0.0006 ""
767 110.816283 -73.45129 0.3944 0.0019 0.3844
771 110.750256 -73.45102 1.5079 0.001 ""
772 110.838725 -73.451052 1.3753 0.0009 1.3782
774 110.856414 -73.450796 "" "" 0.3872
788 110.764708 -73.4502 3.0994 0.0015 ""
789 110.755546 -73.450067 0.3829 0.0016 ""
794 110.876312 -73.449578 0.8261 0.0016 ""
797 110.793418 -73.449472 1.0563 0.0004 ""
799 110.838633 -73.449337 0.7466 0.0002 0.7469
801 110.843468 -73.449028 1.5013 0.0004 ""
821 110.818565 -73.448365 "" "" 0.3932
826 110.862808 -73.447851 0.4018 0.0017 ""
836 110.763814 -73.447474 1.9774 0.001 ""
842 110.790535 -73.447056 "" "" 2.118
846 110.832965 -73.446729 "" "" 0.6002
851 110.858924 -73.446535 1.0776 0.0027 ""
855 110.75676 -73.446098 1.0762 0.0009 ""
857 110.796499 -73.446191 1.3739 0.0019 ""
884 110.794308 -73.444321 0.3931 0.002 ""
885 110.830787 -73.444412 1.5001 0.0011 ""
890 110.823604 -73.444439 3.3736 0.0003 ""
894 110.859768 -73.444204 2.7335 0.0006 2.743
898 110.869181 -73.444002 1.2618 0.001 ""
903 110.796481 -73.443612 1.8206 0.0009 ""
908 110.846893 -73.44298 1.3618 0.0013 ""
919 110.828721 -73.442595 3.0997 0.0003 ""
920 110.820668 -73.442437 1.2602 0.0004 ""
928 110.800227 -73.442111 1.1596 0.001 ""
931 110.824186 -73.441884 1.6707 0.0006 ""
934 110.862061 -73.441362 1.0122 0.0004 ""
935 110.820967 -73.441445 1.2717 0.0004 ""
940 110.806932 -73.441055 0.3883 0.0029 ""
949 110.851943 -73.440395 1.6708 0.0003 ""
956 110.854935 -73.439951 1.0845 0.0003 ""
961 110.800112 -73.439262 1.8179 0.0004 ""
962 110.859267 -73.439295 1.2685 0.0012 ""
984 110.837708 -73.437023 0.3829 0.0017 ""
1006 110.846548 -73.433758 2.1286 0.0004 ""
1091 110.815687 -73.474463 0.4038 0.0015 ""
1100 110.842536 -73.472338 1.9807 0.0017 ""
1107 110.867311 -73.469446 0.3983 0.0017 ""
1109 110.794964 -73.468084 1.974 0.003 ""
1112 110.858864 -73.466192 0.3915 0.004 ""
1115 110.862427 -73.46624 1.9282 0.0017 ""
1116 110.778189 -73.465931 0.3888 0.0016 ""
1117 110.7773 -73.465728 0.3959 0.0014 ""
1129 110.873705 -73.464731 0.4032 0.0019 ""
1131 110.793918 -73.464413 0.8786 0.0005 ""
1137 110.809034 -73.461004 "" "" 0.746
1138 110.81036 -73.460566 "" "" 1.0826
1145 110.848924 -73.460402 0.4013 0.0007 0.397
1148 110.824534 -73.460001 0.3929 0.0013 0.3806
1149 110.825114 -73.459705 1.992 0.0003 ""
1153 110.771834 -73.459558 1.9856 0.0007 ""
1154 110.770362 -73.459623 2.0314 0.0017 ""
1155 110.853472 -73.459624 1.0844 0.0001 1.0815
1156 110.853868 -73.459242 "" "" 1.0823
1157 110.855887 -73.458969 "" "" 1.0833
1158 110.856826 -73.458888 1.0909 0.0003 1.0833
1161 110.864744 -73.459065 0.4052 0.0018 ""
1162 110.865734 -73.459067 0.4008 0.0034 ""
1163 110.802652 -73.458755 0.3925 0.0012 0.3905
